productCategoryRankId,countryCode,productCategoryId,rankingThreshold,rankingThresholdPercentage
,ES,4,291722,0.15000
,ES,4,194481,0.10000
,ES,4,97241,0.05000
,ES,4,77793,0.04000
,ES,4,58344,0.03000
,ES,4,38896,0.02000
,ES,4,29172,0.01500
,ES,4,19448,0.01000
,ES,4,9724,0.00500
,ES,4,1945,0.00100
,ES,4,972,0.00050
,ES,4,194,0.00010
,ES,4,0,0.00000
,ES,5,2135621,1.00000
,ES,5,1067811,0.50000
,ES,5,854248,0.40000
,ES,5,640686,0.30000
,ES,5,427124,0.20000
,ES,5,320343,0.15000
,ES,5,213562,0.10000
,ES,5,106781,0.05000
,ES,5,85425,0.04000
,ES,5,64069,0.03000
,ES,5,42712,0.02000
,ES,5,32034,0.01500
,ES,5,21356,0.01000
,ES,5,10678,0.00500
,ES,5,2136,0.00100
,ES,5,1068,0.00050
,ES,5,214,0.00010
,ES,5,0,0.00000
,ES,6,1531345,1.00000
,ES,6,765673,0.50000
,ES,6,612538,0.40000
,ES,6,459404,0.30000
,ES,6,306269,0.20000
,ES,6,229702,0.15000
,ES,6,153135,0.10000
,ES,6,76567,0.05000
,ES,6,61254,0.04000
,ES,6,45940,0.03000
,ES,6,30627,0.02000
,ES,6,22970,0.01500
,ES,6,15313,0.01000
,ES,6,7657,0.00500
,ES,6,1531,0.00100
,ES,6,766,0.00050
,ES,6,153,0.00010
,ES,6,0,0.00000
,ES,7,1533580,1.00000
,ES,7,766790,0.50000
,ES,7,613432,0.40000
,ES,7,460074,0.30000
,ES,7,306716,0.20000
,ES,7,230037,0.15000
,ES,7,153358,0.10000
,ES,7,76679,0.05000
,ES,7,61343,0.04000
,ES,7,46007,0.03000
,ES,7,30672,0.02000
,ES,7,23004,0.01500
,ES,7,15336,0.01000
,ES,7,7668,0.00500
,ES,7,1534,0.00100
,ES,7,767,0.00050
,ES,7,153,0.00010
,ES,7,0,0.00000
,ES,8,2372006,1.00000
,ES,8,1186003,0.50000
,ES,8,948802,0.40000
,ES,8,711602,0.30000
,ES,8,474401,0.20000
,ES,8,355801,0.15000
,ES,8,237201,0.10000
,ES,8,118600,0.05000
,ES,8,94880,0.04000
,ES,8,71160,0.03000
,ES,8,47440,0.02000
,ES,8,35580,0.01500
,ES,8,23720,0.01000
,ES,8,11860,0.00500
,ES,8,2372,0.00100
,ES,8,1186,0.00050
,ES,8,237,0.00010
,ES,8,0,0.00000
,ES,9,2480069,1.00000
,ES,9,1240035,0.50000
,ES,9,992028,0.40000
,ES,9,744021,0.30000
