skuId,sku,countryCode,fnsku,skuAcquisitionCostExc,skuAcquisitionCostInc,skuAfnTotalQuantity,skuAverageSellingPriceInc,skuAverageNetMargin,skuAverageNetMarginPercentage,skuAverageReturnOnInvestmentRate,skuAverageDailyReturnOnInvestmentRate,isActive,numberOfActiveDays,numberOfUnitSold,skuAverageUnitSoldPerDay,skuRestockAlertQuantity,skuIsTest
,"Expodif-nov.19-7,6-154-LANG",FR,null,7.33,7.74,0,29.00,11.07,0.38170,1.51020,0.00682,FALSE,null,3,0.01,1,FALSE
,"Expodif-nov.19-2,64-155",FR,null,2.63,2.78,0,19.50,8.60,0.47800,3.27000,0.00498,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-4,43-156-LANG",FR,null,4.33,4.57,0,16.90,null,null,null,null,FALSE,null,0,null,1,FALSE
,"Expodif-nov.19-3,69-157",FR,null,3.63,3.83,0,16.90,4.94,0.29230,1.36090,0.02286,FALSE,null,1,0.03,1,FALSE
,"Expodif-nov.19-4,22-158-LANG",FR,X0013LHHYZ,4.13,4.36,0,18.30,6.23,0.35830,1.50850,0.00092,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-7,91-159-LANG",FR,null,7.63,8.05,0,29.95,null,null,null,null,FALSE,null,0,null,1,FALSE
,"Expodif-nov.19-4,91-160",FR,null,4.78,5.05,0,18.50,6.30,0.34050,1.31800,0.00594,FALSE,null,1,0.01,1,FALSE
,"Expodif-nov.19-4,22-161-LANG",FR,null,4.13,4.36,0,15.90,4.82,0.30330,1.16790,0.01259,FALSE,null,6,0.02,1,FALSE
,"Expodif-nov.19-4,22-162-LANG",FR,null,4.13,4.36,0,16.95,null,null,null,null,FALSE,null,0,null,1,FALSE
,"Expodif-nov.19-4,75-163",FR,null,4.63,4.89,0,22.95,3.52,0.20850,0.76030,0.00444,FALSE,null,3,0.01,1,FALSE
,"Expodif-nov.19-4,75-164-LANG",FR,X0013LDLH7,4.63,4.89,0,24.90,null,null,null,null,FALSE,null,0,null,1,FALSE
,"Expodif-nov.19-4,22-165",FR,null,4.13,4.36,0,15.90,null,null,null,null,FALSE,null,0,null,1,FALSE
,"Expodif-nov.19-2,64-166",FR,null,2.63,2.78,0,19.95,2.27,0.17150,0.86310,0.00103,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-3,17-167",FR,null,3.13,3.31,0,17.95,6.90,0.38420,2.20290,0.07310,FALSE,null,2,0.06,1,FALSE
,"Expodif-nov.19-4,75-168",FR,null,4.63,4.89,0,22.95,2.60,0.19140,0.56080,0.00452,FALSE,null,3,0.01,1,FALSE
,"Expodif-nov.19-5,28-169",FR,null,5.13,5.42,0,19.95,5.84,0.29270,1.13840,0.01444,FALSE,null,1,0.02,1,FALSE
,"Expodif-nov.19-4,75-170",FR,null,4.63,4.89,0,22.95,1.83,0.12300,0.39520,0.00210,FALSE,null,2,0.01,1,FALSE
,"Expodif-nov.19-7,91-171-LANG",FR,null,7.63,8.05,0,29.95,4.64,0.17520,0.60810,0.00250,FALSE,null,3,0.01,1,FALSE
,"Expodif-nov.19-4,22-172",FR,null,4.13,4.36,0,17.95,5.61,0.35980,1.35840,0.04104,FALSE,null,3,0.05,1,FALSE
,"Expodif-nov.19-2,64-173",FR,null,2.63,2.78,0,19.95,0.96,0.09810,0.36630,0.00221,FALSE,null,3,0.01,1,FALSE
,"Expodif-nov.19-6,33-174",FR,null,6.13,6.47,0,29.95,1.06,0.06680,0.17290,0.00106,FALSE,null,2,0.01,1,FALSE
,"Expodif-nov.19-2,11-175",FR,null,2.13,2.25,0,24.50,4.82,0.35420,2.26290,0.02346,FALSE,null,1,0.02,1,FALSE
,"Expodif-nov.19-8,44-176",FR,null,8.13,8.58,0,35.00,0.39,0.02230,0.04800,0.00011,FALSE,null,1,0.00,1,FALSE
,"Expodif-nov.19-2,64-177",FR,null,2.63,2.78,0,16.90,3.73,0.30420,1.41640,0.02413,FALSE,null,2,0.03,1,FALSE
,"Expodif-nov.19-6,54-178",FR,null,6.33,6.68,0,24.95,8.77,0.35150,1.38550,0.05169,FALSE,null,3,0.06,1,FALSE
,"Expodif-nov.19-2,11-179-LANG",FR,X0013LDLM7,2.13,2.25,0,15.90,null,null,null,null,FALSE,null,0,null,1,FALSE
,"Expodif-nov.19-4,75-180",FR,null,4.63,4.89,0,28.00,7.21,0.33900,1.55730,0.00782,FALSE,null,2,0.01,1,FALSE
,"Expodif-nov.19-7,91-181-LANG",FR,X0013LDMBR,7.63,8.05,0,29.95,-2.77,-0.23250,-0.36240,-0.00164,FALSE,null,2,0.00,1,FALSE
,"Expodif-nov.19-2,11-182",FR,null,2.13,2.25,0,20.00,2.84,0.24680,1.33430,0.02120,FALSE,null,5,0.02,1,FALSE
,"Expodif-nov.19-4,75-183",FR,null,4.63,4.89,0,19.95,5.43,0.28760,1.17280,0.01549,FALSE,null,2,0.02,1,FALSE
,"Expodif-nov.19-4,75-184",FR,null,4.63,4.89,0,28.00,1.38,0.09510,0.29700,0.00161,FALSE,null,2,0.01,1,FALSE
,"Expodif-nov.19-2,11-185",FR,null,2.13,2.25,0,18.00,5.93,0.39720,2.78400,0.03299,FALSE,null,2,0.02,1,FALSE
,"Expodif-nov.19-2,64-186",FR,null,2.63,2.78,0,17.95,null,null,null,null,FALSE,null,0,null,1,FALSE
