fbaFeeId,asinId,packageLength,packageWidth,packageHeight,packageWeight,priceGridFbaFeeId
,100,24.0,19.6,2.2,939.0,5
,101,22.2,18.6,0.6,458.0,4
,102,21.4,14.9,1.8,358.0,4
,103,27.4,23.6,1.6,1020.0,10
,104,23.0,18.6,2.4,880.0,5
,105,22.0,14.6,2.6,481.0,5
,106,23.4,15.2,5.0,880.0,6
,107,24.4,17.0,1.8,739.0,5
,108,27.6,22.6,1.4,798.0,5
,109,23.0,20.4,1.6,640.0,5
,110,22.4,14.2,2.6,222.0,5
,111,26.4,19.6,2.4,1220.0,10
,112,22.8,18.6,3.2,860.0,5
,113,25.2,18.6,4.0,1520.0,11
,114,26.8,21.8,1.0,900.0,5
,115,21.4,15.8,2.4,480.0,5
,116,33.6,26.7,2.3,2182.0,18
,117,21.2,14.6,4.4,480.0,6
,118,24.2,15.4,2.4,440.0,4
,119,23.4,15.4,2.6,458.0,5
,120,23.8,15.4,2.8,499.0,5
,121,21.0,14.4,2.8,340.0,5
,122,23.0,16.2,2.0,1940.0,12
,123,21.6,14.4,2.8,380.0,5
,124,20.4,14.0,2.2,290.0,4
,125,20.9,14.8,1.9,240.0,4
,126,22.4,14.4,2.6,400.0,5
,127,19.2,14.0,2.0,399.0,4
,128,24.0,17.0,3.8,1179.0,10
,129,21.2,15.2,2.0,280.0,4
,130,31.2,23.6,1.6,821.0,9
,131,27.8,23.0,1.8,940.0,5
,132,23.9,17.4,2.0,710.0,5
,133,19.6,13.0,3.8,680.0,5
,134,23.8,15.4,4.0,680.0,5
,135,21.6,14.6,2.2,240.0,4
,136,23.9,15.9,4.6,600.0,6
,137,21.8,14.0,2.0,272.0,4
,138,20.8,15.0,1.4,299.0,4
,139,24.8,19.2,2.2,1080.0,10
,140,26.3,20.8,2.3,960.0,5
,141,29.0,21.8,2.0,1202.0,10
,142,31.0,23.6,1.2,700.0,9
,143,21.0,15.0,1.0,80.0,3
,144,20.2,20.2,2.6,840.0,5
,145,31.4,24.0,1.2,600.0,9
,146,29.6,22.0,2.0,940.0,5
,147,23.8,15.4,3.0,540.0,5
,148,43.4,36.0,3.0,3680.0,30
,149,20.8,14.8,2.2,380.0,4
,150,27.8,21.4,2.6,1440.0,11
,151,25.4,19.6,2.6,1190.0,10
,152,22.8,18.4,2.6,760.0,5
