fbaFeeId,asinId,packageLength,packageWidth,packageHeight,packageWeight,priceGridFbaFeeId,fbaFeesLocalAndPanEu,fbaFeesEfn
,1934,19.0,18.8,0.8,280.0,4,5.92,5.61
,1935,22.4,20.8,1.0,480.0,5,3.82,6.17
,1936,20.2,20.0,1.3,470.0,5,6.24,6.17
,1937,29.4,21.0,1.6,720.0,5,4.45,6.17
,1938,20.0,19.6,1.2,340.0,4,4.45,5.61
,1939,19.8,19.4,1.2,400.0,4,5.92,5.61
,1940,20.3,20.3,1.0,340.0,4,3.82,5.61
,1941,17.8,11.0,1.2,120.0,3,3.82,5.57
,1942,19.4,17.4,0.8,80.0,3,6.24,5.57
,1943,21.8,19.6,0.8,220.0,4,6.40,5.61
,1944,22.6,14.2,2.0,300.0,4,3.34,5.61
,1945,20.6,14.2,2.4,360.0,4,4.45,5.61
,1946,21.4,14.2,2.6,440.0,5,4.45,6.17
,1947,23.2,21.2,1.2,460.0,4,4.45,5.61
,1948,23.6,21.2,1.2,240.0,4,4.45,5.61
,1949,21.8,14.0,2.0,260.0,4,4.45,5.61
,1950,21.4,13.4,2.6,320.0,5,4.45,6.17
,1951,31.6,22.8,2.2,1460.0,11,4.45,10.90
,1952,19.8,12.8,2.4,420.0,4,4.45,5.61
,1953,23.9,16.3,3.6,680.0,5,4.45,6.17
,1954,13.8,10.2,2.0,160.0,3,6.16,5.57
,1955,21.8,15.1,1.8,320.0,4,3.82,5.61
,1956,21.8,14.8,2.4,360.0,4,4.45,5.61
,1957,17.8,12.0,2.2,220.0,4,6.24,5.61
,1958,21.0,14.2,2.8,500.0,5,6.16,6.17
,1959,21.8,15.0,2.2,340.0,4,6.16,5.61
,1960,21.8,14.8,2.6,420.0,5,6.16,6.17
,1961,21.8,14.6,2.6,560.0,5,3.82,6.17
,1962,22.2,14.8,2.4,420.0,4,4.45,5.61
,1963,21.8,15.0,1.8,280.0,4,4.45,5.61
,1964,23.8,16.0,2.4,520.0,5,6.16,6.17
,1965,21.1,15.1,2.2,390.0,4,4.45,5.61
,1966,22.9,19.0,2.9,660.0,5,6.24,6.17
,1967,21.8,14.8,2.0,340.0,4,6.16,5.61
,1968,25.9,18.9,1.4,720.0,5,3.82,6.17
,1969,21.9,15.2,3.2,560.0,5,4.45,6.17
,1970,24.0,16.0,2.8,520.0,5,6.24,6.17
,1971,17.8,11.9,3.0,280.0,5,4.45,6.17
,1972,17.8,13.0,1.0,140.0,3,3.82,5.57
,1973,23.9,16.0,2.5,420.0,4,4.45,5.61
,1974,17.8,11.8,3.4,280.0,5,4.45,6.17
,1975,23.8,16.0,3.0,600.0,5,6.24,6.17
,1976,24.0,17.2,2.0,800.0,5,4.45,6.17
,1977,18.8,13.4,2.2,240.0,4,4.45,5.61
,1978,21.2,14.8,1.6,380.0,4,6.16,5.61
,1979,23.8,16.8,2.0,400.0,4,3.82,5.61
,1980,22.2,15.0,2.4,340.0,4,4.45,5.61
,1981,20.8,14.0,3.8,520.0,5,6.40,6.17
,1982,20.8,14.0,3.0,420.0,5,3.82,6.17
,1983,20.8,14.0,2.8,340.0,5,4.45,6.17
,1984,22.2,17.6,2.2,440.0,4,3.82,5.61
,1985,21.8,15.0,3.2,500.0,5,3.34,6.17
,1986,20.4,12.8,1.6,200.0,3,6.97,5.57
,1987,20.2,12.8,1.6,180.0,3,4.45,5.57
,1988,20.4,13.0,1.4,180.0,3,4.45,5.57
,1989,20.4,13.0,1.6,180.0,3,6.16,5.57
,1990,20.4,13.0,1.6,180.0,3,6.16,5.57
,1991,20.6,13.0,1.6,180.0,3,4.45,5.57
,1992,20.2,13.0,1.6,180.0,3,3.82,5.57
,1993,20.4,13.0,1.6,240.0,4,6.16,5.61
,1994,20.2,12.8,1.6,240.0,4,4.45,5.61
,1995,20.4,12.8,1.6,180.0,3,4.45,5.57
,1996,20.4,12.8,1.4,180.0,3,3.82,5.57
,1997,41.0,26.0,3.8,830.0,15,4.45,9.47
,1998,20.4,13.0,4.6,580.0,6,4.45,6.81
,1999,20.4,13.0,4.0,480.0,5,3.82,6.17
,2000,20.3,13.0,4.6,540.0,6,4.45,6.81
,2001,20.5,13.2,4.5,570.0,6,5.92,6.81
,2002,20.2,12.8,3.8,420.0,5,4.45,6.17
,2003,20.5,13.0,4.0,440.0,5,3.82,6.17
,2004,20.4,13.0,3.8,480.0,5,3.82,6.17
,2005,20.5,13.0,3.8,480.0,5,3.82,6.17
,2006,20.4,13.0,3.2,240.0,5,3.82,6.17
,2007,21.6,16.8,1.4,300.0,4,3.34,5.61
,2008,20.2,13.0,2.2,200.0,3,3.34,5.57
,2009,29.7,22.2,0.9,410.0,4,4.45,5.61
,2010,20.0,13.0,1.0,160.0,3,4.45,5.57
,2011,20.4,13.0,4.6,480.0,6,4.45,6.81
,2012,31.2,23.8,1.0,581.0,9,3.82,8.70
,2013,23.2,16.4,1.6,350.0,4,4.45,5.61
,2014,21.3,16.3,1.5,270.0,4,6.24,5.61
,2015,21.8,15.0,3.4,580.0,5,3.34,6.17
,2016,22.0,15.0,2.4,370.0,4,4.45,5.61
,2017,21.2,17.6,1.4,340.0,4,4.79,5.61
,2018,21.8,15.4,2.6,540.0,5,3.82,6.17
,2019,24.0,17.2,1.6,340.0,4,5.50,5.61
,2020,23.0,16.8,2.0,520.0,5,4.45,6.17
,2021,31.0,25.0,2.2,1580.0,11,3.34,10.90
,2022,21.5,13.5,3.2,440.0,5,4.45,6.17
,2023,21.0,13.0,1.2,170.0,3,4.45,5.57
,2024,20.8,13.0,1.8,180.0,3,4.45,5.57
,2025,20.8,14.4,1.6,200.0,3,3.82,5.57
,2026,20.8,14.6,2.0,222.0,4,6.16,5.61
,2027,21.8,14.8,1.4,420.0,4,6.16,5.61
,2028,21.8,15.0,1.8,280.0,4,4.45,5.61
,2029,21.8,15.0,2.4,320.0,4,4.45,5.61
,2030,21.4,15.0,2.2,381.0,4,9.55,5.61
,2031,22.0,14.8,2.0,360.0,4,3.34,5.61
,2032,20.8,14.4,1.6,322.0,4,4.49,5.61
,2033,22.8,15.8,2.8,760.0,5,6.40,6.17
,2034,18.8,12.9,1.8,200.0,3,4.45,5.57
,2035,23.8,16.0,2.0,440.0,4,6.77,5.61
,2036,21.8,15.0,1.8,300.0,4,3.34,5.61
,2037,21.9,15.1,1.9,320.0,4,3.82,5.61
,2038,20.8,13.8,1.8,240.0,4,9.55,5.61
,2039,20.8,13.8,1.4,180.0,3,6.24,5.57
,2040,21.0,14.0,1.8,240.0,4,6.16,5.61
,2041,20.8,14.4,2.4,340.0,4,6.24,5.61
,2042,21.8,14.8,2.2,540.0,5,6.24,6.17
,2043,21.8,15.0,2.0,480.0,5,6.77,6.17
