productCategoryRankId,countryCode,productCategoryId,rankingThreshold,rankingThresholdPercentage
743,DE,19,1534395,0.20000
744,DE,19,1150797,0.15000
745,DE,19,767198,0.10000
746,DE,19,383599,0.05000
747,DE,19,306879,0.04000
748,DE,19,230159,0.03000
749,DE,19,153440,0.02000
750,DE,19,115080,0.01500
751,DE,19,76720,0.01000
752,DE,19,38360,0.00500
753,DE,19,7672,0.00100
754,DE,19,3836,0.00050
755,DE,19,767,0.00010
756,DE,19,0,0.00000
757,DE,20,7774246,1.00000
758,DE,20,3887123,0.50000
759,DE,20,3109698,0.40000
760,DE,20,2332274,0.30000
761,DE,20,1554849,0.20000
762,DE,20,1166137,0.15000
763,DE,20,777425,0.10000
764,DE,20,388712,0.05000
765,DE,20,310970,0.04000
766,DE,20,233227,0.03000
767,DE,20,155485,0.02000
768,DE,20,116614,0.01500
769,DE,20,77742,0.01000
770,DE,20,38871,0.00500
771,DE,20,7774,0.00100
772,DE,20,3887,0.00050
773,DE,20,777,0.00010
774,DE,20,0,0.00000
775,DE,21,10688027,1.00000
776,DE,21,5344014,0.50000
777,DE,21,4275211,0.40000
778,DE,21,3206408,0.30000
779,DE,21,2137605,0.20000
780,DE,21,1603204,0.15000
781,DE,21,1068803,0.10000
782,DE,21,534401,0.05000
783,DE,21,427521,0.04000
784,DE,21,320641,0.03000
785,DE,21,213761,0.02000
786,DE,21,160320,0.01500
787,DE,21,106880,0.01000
788,DE,21,53440,0.00500
789,DE,21,10688,0.00100
790,DE,21,5344,0.00050
791,DE,21,1069,0.00010
792,DE,21,0,0.00000
793,DE,22,7596217,1.00000
794,DE,22,3798109,0.50000
795,DE,22,3038487,0.40000
796,DE,22,2278865,0.30000
797,DE,22,1519243,0.20000
798,DE,22,1139433,0.15000
799,DE,22,759622,0.10000
800,DE,22,379811,0.05000
801,DE,22,303849,0.04000
802,DE,22,227887,0.03000
803,DE,22,151924,0.02000
804,DE,22,113943,0.01500
805,DE,22,75962,0.01000
806,DE,22,37981,0.00500
807,DE,22,7596,0.00100
808,DE,22,3798,0.00050
809,DE,22,760,0.00010
810,DE,22,0,0.00000
811,DE,23,8936605,1.00000
812,DE,23,4468303,0.50000
813,DE,23,3574642,0.40000
814,DE,23,2680982,0.30000
815,DE,23,1787321,0.20000
816,DE,23,1340491,0.15000
817,DE,23,893661,0.10000
818,DE,23,446830,0.05000
819,DE,23,357464,0.04000
820,DE,23,268098,0.03000
821,DE,23,178732,0.02000
822,DE,23,134049,0.01500
823,DE,23,89366,0.01000
824,DE,23,44683,0.00500
825,DE,23,8937,0.00100
826,DE,23,4468,0.00050
827,DE,23,894,0.00010
828,DE,23,0,0.00000
829,ES,1,2099837,1.00000
830,ES,1,1049919,0.50000
831,ES,1,839935,0.40000
832,ES,1,629951,0.30000
833,ES,1,419967,0.20000
834,ES,1,314976,0.15000
835,ES,1,209984,0.10000
836,ES,1,104992,0.05000
837,ES,1,83993,0.04000
838,ES,1,62995,0.03000
839,ES,1,41997,0.02000
840,ES,1,31498,0.01500
841,ES,1,20998,0.01000
842,ES,1,10499,0.00500
843,ES,1,2100,0.00100
844,ES,1,1050,0.00050
845,ES,1,210,0.00010
846,ES,1,0,0.00000
847,ES,2,2719568,1.00000
848,ES,2,1359784,0.50000
849,ES,2,1087827,0.40000
850,ES,2,815870,0.30000
851,ES,2,543914,0.20000
852,ES,2,407935,0.15000
853,ES,2,271957,0.10000
854,ES,2,135978,0.05000
855,ES,2,108783,0.04000
856,ES,2,81587,0.03000
857,ES,2,54391,0.02000
858,ES,2,40794,0.01500
859,ES,2,27196,0.01000
860,ES,2,13598,0.00500
861,ES,2,2720,0.00100
862,ES,2,1360,0.00050
863,ES,2,272,0.00010
864,ES,2,0,0.00000
865,ES,3,1929478,1.00000
866,ES,3,964739,0.50000
867,ES,3,771791,0.40000
868,ES,3,578843,0.30000
869,ES,3,385896,0.20000
870,ES,3,289422,0.15000
871,ES,3,192948,0.10000
872,ES,3,96474,0.05000
873,ES,3,77179,0.04000
874,ES,3,57884,0.03000
875,ES,3,38590,0.02000
876,ES,3,28942,0.01500
