sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote
BOOK-04.23-5,69-2813218979	X001RE2T4B	2813218979	Cahier d'Exercices pour Trouver Sa Mission de Vie et Se Réaliser Pleinement	New	25.00	No		Yes	0	0	0	0	0	2121.8	0	0	0	0	0	0	0	0
BOOK-04.23-5,7-281321633X	X001RDSAV3	281321633X	La vie secrète des plantes - Les liens physiques, émotionnels et spirituels	New	22.20	No		Yes	0	0	0	0	0	1324.57	0	0	0	0	0	0	0	0
BOOK-04.23-5,78-2702915558	X001RF39T9	2702915558	Pour un leadership socialement intelligent	New	20.40	No		Yes	0	0	0	0	0	889.16	0	0	0	0	0	0	0	0
BOOK-04.23-5,82-2221157877	X001RE5S4T	2221157877	Ghost in Love	New	16.16	No		Yes	6	6	0	0	6	954.22	0	0	0	0	0	0	6	0
BOOK-04.23-5,82-2851809342	X001RDQ75T	2851809342	Musclée et sexy: La méthode pour affiner et sculpter votre corps rapidement !	New	21.34	No		Yes	0	0	0	0	0	571.25	0	0	0	0	0	0	0	0
BOOK-04.23-5,84-2843194261	X001RE31K7	2843194261	Le syndrome de la mouche contre la vitre	New	16.19	No		Yes	0	0	0	0	0	654.01	0	0	0	0	0	0	0	0
BOOK-04.23-5,84-2853277046	X001RE2BQ7	2853277046	Bien chez moi - Dans ma maison, mon corps, ma tête	New	17.00	No		Yes	0	0	0	0	0	866.38	0	0	0	0	0	0	0	0
BOOK-04.23-5,92-2738133827	X001RE2A9Z	2738133827	La Chrono-alimentation du cerveau	New	23.13	No		Yes	0	0	0	0	0	1026.32	0	0	0	0	0	0	0	0
BOOK-04.23-5,92-B078F5L94V	X001RDXKRH	B078F5L94V	Ma part d'évidence - Une vie transformée après une exprérience de mort imminente	New	22.00	No		Yes	0	0	0	0	0	1081.55	0	0	0	0	0	0	0	0
BOOK-04.23-5-2813217867	X001RE2D8X	2813217867	Cancer - Et si nos émotions pouvaient nous guérir ?	New	19.90	No		Yes	1	1	0	0	1	850.16	0	0	0	0	0	0	1	0
BOOK-04.23-6,02-2851809881	X001RE63DT	2851809881	Le football est une science (in)exacte: Entraîneurs, journalistes, spectateurs : comment le big date a changé le visag	New	19.50	No		Yes	0	0	0	0	0	799.69	0	0	0	0	0	0	0	0
BOOK-04.23-6,12-2702155340	X001RDQA5L	2702155340	L'Ange du lac -Orpheline des neiges-T6: l'Orpheline des neiges 6	New	22.90	No		Yes	0	0	0	0	0	1012.88	0	0	0	0	0	0	0	0
BOOK-04.23-6,12-2702160778	X001RDS815	2702160778	La Galerie des jalousies T2	New	22.90	No		Yes	0	0	0	0	0	1605.11	0	0	0	0	0	0	0	0
BOOK-04.23-6,13-2324017695	X001RDSE05	2324017695	Jean-Jacques Goldman - Sur ses traces	New	18.99	No		Yes	0	0	0	0	0	2141.63	0	0	0	0	0	0	0	0
BOOK-04.23-6,29-2851809091	X001RE2U6X	2851809091	Méthode de musculation - L'espace stratégique (tome 2): Optimisez votre fonctionnement pour un rendement athlétique supérieur	New	25.31	No		Yes	0	0	0	0	0	965.69	0	0	0	0	0	0	0	0
