sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
LBM-05.22-5,14-B01LTIAU7Y	X001KIKGCL	B01LTIAU7Y	Cantu Le beurre de karité pour la crème Activator Curl Hydratante cheveux naturels, 12 Ounce	New	13.42	No		Yes	1	0	1	0	1	605.17	0	0	0	0	0	0
LBM-09.22-3,59-B085W3Y478	X001N4Q8Y7	B01A90YRJA	Cantu KIDS Spray de soin démêlant 177 ml	New	11.29	No		Yes	0	0	0	0	0	338.23	0	0	0	0	0	0
LBM-09.22-3,76-B00QNQ75WG	X001N4NHX7	B00QNQ75WG	ORS Original Root Stimulator Hair Mayonnaise Traitement revitalisant pour cheveux abîmés 226,8 g	New	12.02	No		Yes	0	0	0	0	0	422.46	0	0	0	0	0	0
LBM-09.22-5,7-B001T8HRUI	X001N4NHVT	B001T8HRUI	Luster's Kit Couleur Assouplissement et Soin Nourrissant Short Looks Colorlaxer 3-en-1 Couleur Noir Semi-Permanente	New	19.00	No		Yes	9	8	0	1	9	1336.37	0	0	0	0	0	0
LBM-09.22-5,76-B0178H2MFS	X001N4MSIH	B0178H2MFS	Cantu Natural Hair Wave Whip Curling Mousse 8.4oz by Cantu	New	39.53	No		Yes	10	10	0	0	10	2233.72	0	0	0	0	0	0
LBM-11.22-5,13-B000VXG3XY	X001OBKL6F	B000VXG3XY	Avlon KeraCare 1st Lather Shampooing (sans sulfate), 240 ml	New	13.64	No		Yes	4	2	0	2	4	419.51	0	0	0	0	0	0
MORI-04.23-130-B07NW5LYCS	X001R8L0BZ	B07NW5LYCS	Etest Machine AGC2 / 2 vitesse noir GATB	New	275.03	No		Yes	0	0	0	0	0	4157.4	0	0	0	0	0	0
NOIS-04.23-10,74-B07NSMBVYS	X001RAJAZL	B07NSMBVYS	Harnais anti-traction HALTI, Taille S, Pour que votre chien arrête de tirer sur sa laisse, Réfléchissant sangle de poitrail et des pattes avant rembourrée, Harnais de anti-traction pour petits chiens	New	28.22	No		Yes	3	3	0	0	3	868.02	0	0	0	0	0	0
NOIS-04.23-12,74-B07Q7DSWF4	X001RAKPB9	B07Q7DSWF4	Halti CoA No Pull Harness Câbles et Piquets d'attache/Piquets d'attache Large pour Chien	New	33.48	No		Yes	1	1	0	0	1	1571.36	0	0	0	0	0	0
NOIS-04.23-13,3-B005184AG6	X001RAHDX7	B005184AG6	Muselière BASKERVILLE ULTRA, Taille 6, Conception Breveté Sans Cruauté, Chien Peut Pantalon et Boire, Empêche les Morsures, Chasse à la Faune, Museau d'Entraînement Respirant pour Grands Chiens	New	35.44	No		Yes	0	0	0	0	0	3910.12	0	0	0	0	0	0
NOIS-04.23-2,02-B000OOCLAY	X001RAJB3H	B000OOCLAY	Dudu-Osun Savon noir 150 g	New	14.34	No		Yes	5	5	0	0	5	685.8	0	0	0	0	0	0
NOIS-04.23-26,59-B000CR1FHI	X001RAJE6L	B000CR1FHI	Oster Tête de Coupe pour Chien Nr.5 F L 6,3 mm	New	55.76	No		Yes	2	2	0	0	2	175.83	0	0	0	0	0	0
NOIS-04.23-4,08-B005N75PPK	X001RANPB1	B005N75PPK	Miss Antilles International Shampooing Revitalisant Coco 250 ml	New	17.96	No		Yes	3	3	0	0	3	420.16	0	0	0	0	0	0
NOIS-04.23-8,26-B0058XX3BW	X001RANK3J	B0058XX3BW	Company of Animals Nobby Halti Muselière pour Chien Noir 0	New	23.82	No		Yes	7	7	0	0	7	797.56	0	0	0	0	0	0
ORNI-06.23-1,85-B004RATTUG	X001STH87N	B004RATTUG	Royal Canin Plaisir d'entraînement Educ	New	17.14	No		Yes	0	0	0	0	0	339.7	0	0	0	0	0	0
ORNI-06.23-29,4-B005LH2FA0	X001STFWVR	B005LH2FA0	Royal Canin Educ Lot de 30 croquettes pour Chien 50 g	New	59.96	No		Yes	0	0	0	0	0	7799.26	0	0	0	0	0	0
PHARMAM-01.22-4,5-B00OHVDP5K	X001I9TBTB	B00OHVDP5K	Royal Canin Educ | Pack de 5 | 5 x 50 g | Complément Alimentaire pour Chiens | Récompense hypocalorique pour l'éducation et l'entraînement | avec Complexe de vitamines pour Soutenir Les cellules	New	14.46	No		Yes	0	0	0	0	0	1552.18	0	0	0	0	0	0
POWE-04.22-13,09-B07H7FK19F-2	X001S9PX93	B07H7FK19F	Hydralin Quotidien - Pour prendre soin de votre intimité jour après jour - Lot de 2 x 400ml	New	32.38	No		Yes	0	0	0	0	0	1910.9	0	0	0	0	0	0
PRAD-04.23-12,18-B00VFXDJK4	X001R99AD9	B00VFXDJK4	Akileïne Sports Crème NOK Anti-frottement - Lot de 3 Tubes de 75 mL	New	33.99	No		Yes	1	1	0	0	1	1051.07	0	0	0	0	0	0
SOCA-07.22-1,2-B082VQLVL2	X001LR0761	B082VQLVL2	Le Petit Marseillais Après-shampoing Cheveux Ternes sans Eclats/Vinaigre de 3 Fleurs et Lait D'amande Tube 200 ml	New	7.85	No		Yes	66	66	0	0	66	431.96	0	0	0	0	0	0
SOCA-07.22-9,96-B01K1P3JCY	X001LR0G7V	B01K1P3JCY	Calgon Pastilles 3en1 Anticalcaire Nettoyant Lave-Linge (17 Tablettes - Lot de 2)	New	21.78	No		Yes	1	1	0	0	1	3634.16	0	0	0	0	0	0
